,date,text
4367,2017-12-08 00:25:19,"Almost 200,000 #Evacuated From Fourth Day of Raging Southern #California #Wildfires https://wn.com/a/SDDHJVSn #Ventura #Thomas #Creek #SantaAnaWinds #Weather"
4443,2017-12-07 08:24:51,More evacuations ordered in Thomas fire as crews fight to protect Ojai amid 'weird wind pattern' http://www.latimes.com/local/lanow/la-me-ventura-fire-20171206-story.html #wildfires #California #Californiafires #LosAngeles #Environment #climatechange #ThomasFire
4475,2017-12-06 18:18:01,Thomas Fire Day 2: Manmade Disaster http://ow.ly/DqWU30h3xpp #ClimateChange #GlobalWarming #Science #ThomasFire #SkirballFire #Wildfire #California
4499,2017-12-06 16:08:57,Devastating wildfires in Southern California. Keep informed with the JLT Re CATz Blog. #Thomas fire #Rye fire #Creek fire.
4525,2017-12-06 06:46:43,"Thomas Fire Map: Ventura Fire Photos, Timeline, Death Toll From Wildfire Destruction in California http://www.newsweek.com/thomas-fire-map-ventura-california-fire-photos-timeline-735428 #ThomasFire #wildfire"
4531,2017-12-06 04:00:48,California wildfire forces evacuation at Thomas Aquinas College #CatholicNews #Catholic #News #ThomasAquinasCollege #California #Wildfires #PopeFrancis #Christian #Jesus #God #HolySpirit #Love #Faith #Hope #Charity #Advent #Christmas #Bible #Catholicism
4549,2017-12-06 00:38:42,"#RyeFire : Firestorms in Southern California as three wildfires continue to burn out of control on Tuesday morning. The Ventura County Fire Department gives the latest stats in a press conference on the Thomas Fire. #ThomasFire: 50,000 acres burned near Ventura &gt;70 square miles"
4577,2017-12-05 21:13:16,#Thomas #wildfire #california #californie http://www.lemonde.fr/international/article/2017/12/05/l-incendie-thomas-ravage-la-californie_5225131_3210.html
4581,2017-12-05 20:37:00,California wildfire forces evacuation at Thomas Aquinas College http://ow.ly/91A830h2g7l #ThomasFire
4588,2017-12-05 20:06:57,"#USA Un gigantesque incendie ravage la #Californie Baptisé « #Thomas », l’incendie a causé la mort d’une personne, dévasté plus de 18 200 hectares et forcé l’évacuation de 27 000 personnes. #ThomasFire #California #wildfire http://www.lemonde.fr/international/article/2017/12/05/l-incendie-thomas-ravage-la-californie_5225131_3210.html"
4591,2017-12-05 19:56:55,Thomas Fire: Manmade Disaster http://ow.ly/e65H30h2cmo #ClimateChange #GlobalWarming #Science #ThomasFire #Wildfire #California
4604,2017-12-05 17:48:43,"Winds fan explosive Southern #California wildfire #ThomasFire ""The Thomas Fire has already forced 27,000 people to evacuate their homes as the blaze exploded from 10,000 acres overnight, fire officials said."" https://www.nbcnews.com/storyline/western-wildfires/southern-california-wildfire-ventura-county-forces-thousands-evacuate-n826576 via @nbcnews #VenturaCounty #Climate #Drought"
4626,2017-12-05 13:20:06,"Thomas Fire in Ventura County, CA explodes overnight, mass evacuations and power outages http://dlvr.it/Q4RfyJ #ThomasFire #Ventura #wildfire #California"
4648,2017-12-05 08:03:11,#Thomas #Fire #California #Wildfire #Chars #Ventura #County an... - https://fer4.com/?p=56325 - #News
